airline,average_booking_amount,gross_bookings,user_cancellations,commission_per_booking,fees_per_cancellation,cancellation_percentage,profit
Kaus Borealis Airlines,$611,887344,283950,0.28%,0.56%,32.00%,"$549,089"
Kaus Media Airlines,"$1,973",464187,41777,0.18%,0.31%,9.00%,"$1,423,846"
Kaveh Airlines,$527,701499,98210,0.65%,1.23%,14.00%,"$1,778,720"
Keek Airlines,$565,1070178,299650,0.28%,0.81%,28.00%,"$294,084"
Keel-Billed Toucan Airlines,"$1,664",1077235,129268,0.10%,0.20%,12.00%,"$1,273,292"
Keeshond Airlines,$456,83080,4154,0.90%,1.29%,5.00%,"$317,864"
Kefalotyri Airlines,$908,1586686,0,0.21%,0.46%,0.00%,"$3,062,304"
Keid Airlines,$865,410633,184785,0.26%,0.39%,45.00%,"$307,974"
Kenafa Airlines,$805,1474739,663633,0.49%,0.85%,45.00%,"$1,200,434"
Kernhem Airlines,$456,493631,385032,0.98%,1.56%,78.00%,"-$537,069"
Kervella Affine Airlines,"$1,241",148631,22295,0.25%,0.43%,15.00%,"$342,147"
Khambalia Airlines,$652,1010079,737358,0.66%,0.94%,73.00%,"-$201,513"
Kikorangi Airlines,"$1,782",726607,603084,0.21%,0.28%,83.00%,"-$276,257"
Killer Whale Airlines,"$1,742",1747697,524309,0.23%,0.34%,30.00%,"$4,065,144"
Kimberly Queen Fern Airlines,$263,669576,60262,1.54%,2.28%,9.00%,"$2,356,907"
King Cobra Airlines,"$1,240",1731004,155790,0.35%,0.58%,9.00%,"$6,423,932"
King Crab Airlines,"$1,079",102141,50049,0.39%,0.57%,49.00%,"$128,821"
King Island Cape Wickham Brie Airlines,"$1,282",478218,52604,0.16%,0.24%,11.00%,"$789,634"
King Penguin Airlines,$517,1010228,646546,0.51%,0.78%,64.00%,"$38,388"
King River Gold Airlines,"$1,977",1558140,1246512,0.09%,0.20%,80.00%,"-$2,072,326"
Kingfisher Airlines,$427,1074874,397703,1.18%,1.92%,37.00%,"$2,134,703"
Kinnikinnik Airlines,"$1,768",1132059,464144,0.13%,0.29%,41.00%,"$238,073"
Kitalpha Airlines,$958,948206,0,0.22%,0.40%,0.00%,"$2,000,715"
Kiwi Airlines,"$1,366",428805,257283,0.28%,0.49%,60.00%,"-$44,596"
Klosterkaese Airlines,"$1,077",875083,393787,0.34%,0.50%,45.00%,"$1,067,603"
Knockalara Airlines,"$1,188",1767916,990033,0.20%,0.46%,56.00%,"-$1,298,358"
Koala Airlines,"$1,751",929313,464657,0.18%,0.27%,50.00%,"$734,155"
Kochab Airlines,"$1,033",459260,160741,0.37%,0.62%,35.00%,"$745,838"
Koeia Airlines,$406,858104,394728,1.34%,1.94%,46.00%,"$1,553,682"
Koit Airlines,$772,1665579,166558,0.47%,0.80%,10.00%,"$4,953,431"
Komodo Dragon Airlines,"$1,161",1103260,860543,0.14%,0.28%,78.00%,"-$1,013,235"
Korean Rock Fern Airlines,"$1,013",936527,468264,0.17%,0.39%,50.00%,"-$262,230"
Kornephoros Airlines,$486,680252,435361,0.68%,1.15%,64.00%,"-$197,544"
Kousa Airlines,"$1,675",281162,0,0.26%,0.34%,0.00%,"$1,206,185"
Kousa Dogwood Airlines,$341,1483133,949205,1.30%,1.80%,64.00%,"$742,160"
Kraz Airlines,"$1,451",1987174,1371150,0.36%,0.46%,69.00%,"$1,065,722"
Krill Airlines,"$1,181",1652903,1107445,0.41%,0.61%,67.00%,"$20,827"
Kudu Airlines,"$1,360",929833,55790,0.18%,0.35%,6.00%,"$2,002,674"
Kudzu Airlines,"$1,605",1401096,826647,0.19%,0.30%,59.00%,"$269,849"
Kugelkase Airlines,$620,612232,134691,0.78%,1.24%,22.00%,"$1,937,592"
Kurhah Airlines,$966,994153,178948,0.28%,0.42%,18.00%,"$1,950,526"
L'Aveyronnais Airlines,$641,1572085,172929,0.82%,1.27%,11.00%,"$6,891,237"
L'Ecir De L'Aubrac Airlines,"$1,749",864347,674191,0.22%,0.36%,78.00%,"-$936,090"
La Superba Airlines,$857,1874650,243705,0.50%,0.67%,13.00%,"$6,643,382"
La Taupiniere Airlines,$267,1318302,606419,0.62%,1.06%,46.00%,"$472,216"
La Vache Qui Rit Airlines,$707,177140,30114,0.37%,0.78%,17.00%,"$291,961"
Labradoodle Airlines,$573,691733,318197,0.81%,1.04%,46.00%,"$1,326,468"
Labrador Retriever Airlines,"$1,566",448847,359078,0.33%,0.46%,80.00%,"-$291,753"
Lace Flower Airlines,$278,1995846,99792,1.23%,2.39%,5.00%,"$6,142,218"
Ladybug Airlines,$339,448755,278228,1.10%,1.62%,62.00%,"$150,872"
Laguiole Airlines,"$1,517",1005399,643455,0.27%,0.41%,64.00%,"$205,908"
Lairobell Airlines,"$1,488",503290,251645,0.30%,0.42%,50.00%,"$676,925"
Lajta Airlines,$656,1200563,972456,0.83%,1.08%,81.00%,"-$320,190"
Lambs Cress Airlines,$459,581160,406812,1.10%,1.59%,70.00%,"-$20,922"
Lambs Foot Airlines,"$1,083",1410520,606524,0.17%,0.31%,43.00%,"$569,567"
Lamprey Airlines,"$1,355",946604,350243,0.19%,0.30%,37.00%,"$976,424"
Lanark Blue Airlines,$633,1615628,1244034,0.86%,1.19%,77.00%,"-$533,807"
Lancashire Airlines,"$1,063",536755,177129,0.15%,0.27%,33.00%,"$352,326"
Land Cress Airlines,"$1,445",1396861,83812,0.22%,0.39%,6.00%,"$4,049,777"
Langres Airlines,"$1,237",517211,191368,0.13%,0.25%,37.00%,"$209,781"
Lappi Airlines,"$1,512",99793,60874,0.14%,0.29%,61.00%,"-$51,514"
Larawag Airlines,"$1,402",1616185,711121,0.36%,0.56%,44.00%,"$2,598,829"
Laruns Airlines,$437,1556055,1058117,0.69%,1.30%,68.00%,"-$1,295,258"
Lavender Airlines,$554,818187,400912,1.00%,1.56%,49.00%,"$1,068,713"
Lavistown Airlines,$882,1534377,521688,0.29%,0.44%,34.00%,"$1,970,755"
Le Brin Airlines,$696,805338,40267,0.68%,0.99%,5.00%,"$3,546,708"
Le Fium Orbo Airlines,"$1,060",266523,175905,0.45%,0.69%,66.00%,"$2,293"
Le Lacandou Airlines,"$1,309",896577,197247,0.36%,0.52%,22.00%,"$2,918,358"
Le Roule Airlines,$329,429103,283208,1.07%,1.62%,66.00%,"-$3,347"
Leaf-Tailed Gecko Airlines,"$1,710",388037,287147,0.16%,0.27%,74.00%,"-$279,928"
Leafield Airlines,$569,1600519,256083,0.91%,1.27%,16.00%,"$6,423,203"
Leatherleaf Viburnum Airlines,$264,15292,3517,0.86%,2.02%,23.00%,"$15,814"
Lebbene Airlines,$660,1119873,918296,0.66%,0.99%,82.00%,"-$1,134,208"
Leek Airlines,$206,610513,18315,2.40%,3.95%,3.00%,"$2,866,850"
Leerdammer Airlines,$639,861142,447794,0.49%,0.77%,52.00%,"$518,407"
Leicester Airlines,"$1,227",1375210,1127672,0.19%,0.40%,82.00%,"-$2,320,253"
Lemming Airlines,"$1,134",676402,446425,0.47%,0.64%,66.00%,"$355,113"
Lemon Airlines,"$1,680",104649,24069,0.25%,0.31%,23.00%,"$306,236"
Lemur Airlines,$315,802995,200749,1.61%,2.28%,25.00%,"$2,639,844"
Leopard Airlines,"$1,646",1599363,1103560,0.16%,0.32%,69.00%,"-$1,616,634"
Leopard Cat Airlines,"$1,738",1249345,37480,0.30%,0.45%,3.00%,"$6,281,085"
Leopard Seal Airlines,"$1,049",269226,150767,0.39%,0.58%,56.00%,"$182,317"
Leopard Tortoise Airlines,"$1,372",621977,304769,0.37%,0.55%,49.00%,"$818,271"
Lerna Airlines,$781,668332,360899,0.58%,0.78%,54.00%,"$821,916"
Lesath Airlines,"$1,344",1334549,320292,0.15%,0.29%,24.00%,"$1,449,319"
Lettuce Airlines,"$1,891",283427,25508,0.19%,0.31%,9.00%,"$860,033"
Leyden Airlines,$366,1513927,711546,0.74%,1.51%,47.00%,"$166,984"
Libertas Airlines,$661,1230480,836726,0.69%,1.07%,68.00%,"-$280,054"
Lich Airlines,"$1,371",1564680,125174,0.29%,0.47%,8.00%,"$5,463,239"
Liesma Airlines,"$1,718",76172,20566,0.28%,0.45%,27.00%,"$204,160"
Liger Airlines,"$1,204",1076335,21527,0.14%,0.34%,2.00%,"$1,698,886"
Lilac Airlines,"$1,722",1936396,1123110,0.24%,0.32%,58.00%,"$1,620,374"
Lilii Borea Airlines,$543,712500,21375,0.97%,1.18%,3.00%,"$3,624,986"
Lily Leek Airlines,"$1,907",1035429,559132,0.27%,0.44%,54.00%,"$608,001"
Limburger Airlines,$907,1627304,537010,0.41%,0.53%,33.00%,"$3,443,377"
Lincolnshire Poacher Airlines,"$1,769",375501,108895,0.20%,0.26%,29.00%,"$830,910"
Lingot Saint Bousquet D'Orb Airlines,"$1,548",3995,1878,0.17%,0.33%,47.01%,$668
Lion Airlines,"$1,912",1227194,12272,0.13%,0.23%,1.00%,"$2,916,058"
Lionfish Airlines,"$1,106",97404,49676,0.36%,0.57%,51.00%,"$71,787"
Lionrock Airlines,$796,1871347,112281,0.33%,0.61%,6.00%,"$4,356,121"
Liptauer Airlines,$902,913725,539098,0.51%,0.83%,59.00%,"$176,073"
Little Penguin Airlines,"$1,594",1904915,761966,0.32%,0.38%,40.00%,"$4,979,448"
Little Rydings Airlines,"$1,484",887924,204223,0.17%,0.37%,23.00%,"$1,052,898"
Livarot Airlines,"$1,157",803662,618820,0.35%,0.62%,77.00%,"-$1,171,580"
Lizard Airlines,"$1,621",1526250,198413,0.29%,0.41%,13.00%,"$5,935,583"
Llama Airlines,$683,1103206,816372,0.66%,1.12%,74.00%,"-$1,280,819"
Llanboidy Airlines,$317,504787,262489,1.23%,1.81%,52.00%,"$469,655"
Llanglofan Farmhouse Airlines,$342,1812639,308149,0.73%,1.50%,17.00%,"$2,968,920"
Lobster Airlines,$977,429910,17196,0.27%,0.45%,4.00%,"$1,068,586"
Loch Arthur Farmhouse Airlines,$878,697593,390652,0.31%,0.56%,56.00%,"-$32,368"
Loddiswell Avondale Airlines,"$1,206",1741824,992840,0.14%,0.28%,57.00%,"-$364,739"
Long-Eared Owl Airlines,"$1,636",245730,184298,0.23%,0.34%,75.00%,"-$100,752"
Longhorn Airlines,"$1,316",1262294,1022458,0.28%,0.41%,81.00%,"-$962,625"
Lou Palou Airlines,$625,1094712,383149,0.65%,1.17%,35.00%,"$1,662,322"
Lou Pevre Airlines,"$1,803",1742757,69710,0.10%,0.21%,4.00%,"$2,782,138"
Love Vine Airlines,$446,577488,473540,0.78%,1.06%,82.00%,"-$225,451"
Low Rose Airlines,$859,1207536,277733,0.57%,0.74%,23.00%,"$4,170,952"
Lucilinburhuc Airlines,"$1,312",922110,571708,0.12%,0.27%,62.00%,"-$509,373"
Lungfish Airlines,"$1,232",1783859,1213024,0.32%,0.53%,68.00%,"-$953,293"
Lusitania Airlines,"$1,266",1573207,1022585,0.31%,0.48%,65.00%,"-$12,588"
Lynx Airlines,$874,1602862,160286,0.24%,0.51%,10.00%,"$2,601,446"
Lyonnais Airlines,"$1,197",463175,291800,0.34%,0.55%,63.00%,"-$52,939"
Maasdam Airlines,"$1,857",1883192,0,0.14%,0.28%,0.00%,"$4,802,140"
Maasym Airlines,$795,397731,71592,0.67%,1.08%,18.00%,"$1,519,727"
Macaroni Penguin Airlines,"$1,687",1948701,370253,0.22%,0.34%,19.00%,"$4,975,424"
Macaw Airlines,"$1,859",1174116,763175,0.26%,0.41%,65.00%,"-$191,965"
Macconais Airlines,$260,1885710,56571,0.65%,1.80%,3.00%,"$2,922,098"
Macondo Airlines,"$1,029",1310931,288405,0.19%,0.41%,22.00%,"$1,362,581"
Magellanic Penguin Airlines,$280,1610533,982425,1.17%,1.62%,61.00%,"$816,058"
Mago Airlines,"$1,872",979070,685349,0.13%,0.22%,70.00%,"-$554,154"
Magpie Airlines,"$1,364",135258,18936,0.13%,0.28%,14.00%,"$171,129"
Mahasim Airlines,"$1,083",1909609,1413111,0.22%,0.41%,74.00%,"-$1,895,479"
Mahoe Aged Gouda Airlines,"$1,882",799780,111969,0.25%,0.36%,14.00%,"$3,057,080"
Mahogany Birch Airlines,$627,315714,123128,0.74%,1.18%,39.00%,"$551,145"
Mahon Airlines,"$1,766",257480,195685,0.13%,0.20%,76.00%,"-$103,611"
Mahsati Airlines,"$1,017",18169,9630,0.30%,0.43%,53.00%,"$12,595"
Maia Airlines,$342,1953321,1211059,0.58%,1.24%,62.00%,"-$1,286,848"
Maine Coon Airlines,$973,38075,31602,0.16%,0.35%,83.00%,"-$50,521"
Maize Airlines,$922,756733,105943,0.56%,0.80%,14.00%,"$3,127,121"
Malayan Civet Airlines,$264,704892,507522,0.91%,2.06%,72.00%,"-$1,062,130"
Malayan Tiger Airlines,"$1,703",1251026,362798,0.21%,0.28%,29.00%,"$2,692,831"
Malmok Airlines,$247,1277609,178865,2.00%,3.29%,14.00%,"$4,871,781"
Maltese Airlines,"$1,154",439951,26397,0.39%,0.56%,6.00%,"$1,791,921"
Malvern Airlines,"$1,179",1759811,316766,0.43%,0.58%,18.00%,"$6,766,825"
Mamirolle Airlines,"$1,849",1300612,637300,0.22%,0.30%,49.00%,"$1,692,486"
Mammals Airlines,"$1,566",757293,234761,0.24%,0.37%,31.00%,"$1,528,898"
Manatee Airlines,"$1,612",1528022,0,0.25%,0.33%,0.00%,"$6,050,967"
Manchego Airlines,$388,980029,19601,0.97%,1.24%,2.00%,"$3,581,024"
Mandrill Airlines,$460,1246694,336607,0.49%,0.75%,27.00%,"$1,624,568"
Maned Wolf Airlines,$834,183460,3669,0.26%,0.47%,2.00%,"$385,707"
Mango Airlines,$802,1753654,105219,0.41%,0.77%,6.00%,"$5,065,606"
Manouri Airlines,"$1,365",1451136,798125,0.23%,0.42%,55.00%,"$38,454"
Manta Ray Airlines,"$1,770",1238969,322132,0.28%,0.40%,26.00%,"$3,802,643"
Manur Airlines,$577,904893,217174,0.95%,1.33%,24.00%,"$3,304,310"
Maple Airlines,"$1,844",680929,34046,0.24%,0.32%,5.00%,"$2,818,027"
Maple Ash Airlines,"$1,487",360800,184008,0.16%,0.36%,51.00%,"-$122,275"
Marble Cheddar Airlines,"$1,276",360115,154849,0.36%,0.57%,43.00%,"$527,680"
Marbled Cheeses Airlines,$455,1726104,707703,0.46%,0.74%,41.00%,"$1,198,260"
Maredsous Airlines,$345,682596,232083,0.61%,1.44%,34.00%,"$291,330"
Marfik Airlines,$567,829437,522545,0.50%,0.84%,63.00%,"-$123,419"
Margotin Airlines,"$1,380",1050745,462328,0.19%,0.42%,44.00%,"$116,001"
Maribo Airlines,$495,1698257,407582,0.65%,1.29%,24.00%,"$2,838,804"
Marina Airlines,$556,1803270,667210,0.76%,1.01%,37.00%,"$3,866,751"
Marine Toad Airlines,$585,461399,276839,0.90%,1.44%,60.00%,"$95,974"
Markab Airlines,"$1,590",1531310,505332,0.29%,0.41%,33.00%,"$3,825,674"
Markeb Airlines,"$1,002",1983381,1467702,0.33%,0.46%,74.00%,"-$264,980"
Markhor Airlines,"$1,845",343853,3439,0.09%,0.19%,1.00%,"$575,815"
Marmot Airlines,"$1,370",1185039,568819,0.31%,0.54%,48.00%,"$774,539"
Marohu Airlines,"$1,101",48634,1945,0.43%,0.65%,4.00%,"$213,778"
Maroilles Airlines,"$1,521",896998,493349,0.11%,0.24%,55.00%,"-$251,160"
Marsh Frog Airlines,"$1,920",29680,11872,0.25%,0.35%,40.00%,"$61,972"
Marsh Ragwort Airlines,$368,702423,224775,0.50%,1.21%,32.00%,"$294,457"
Marsic Airlines,"$1,554",1743622,435906,0.29%,0.36%,25.00%,"$5,431,380"
Mascares Airlines,"$1,114",1249305,112437,0.16%,0.36%,9.00%,"$1,750,153"
Mascarpone Airlines,$376,11764,118,0.51%,0.83%,1.00%,"$21,982"
Mascarpone Torta Airlines,$206,1016918,427106,1.27%,2.04%,42.00%,"$860,311"
Masked Palm Civet Airlines,"$1,173",883711,565575,0.35%,0.50%,64.00%,"$296,220"
Mastiff Airlines,"$1,547",1663719,549027,0.28%,0.46%,33.00%,"$3,245,252"
Matar Airlines,$517,31868,25494,1.03%,1.41%,80.00%,"-$14,848"
Matocq Airlines,"$1,119",188061,13164,0.40%,0.53%,7.00%,"$773,591"
Mayfly Airlines,$647,715778,472413,0.68%,0.88%,66.00%,"$480,433"
Maytag Blue Airlines,$434,234213,9369,0.58%,1.32%,4.00%,"$538,781"
Mazaalai Airlines,$235,708068,127452,1.18%,2.56%,18.00%,"$1,195,362"
Meadow Cabbage Airlines,"$1,181",93487,64506,0.15%,0.34%,69.00%,"-$85,653"
Meadow Holly Airlines,$962,542899,418032,0.52%,0.78%,77.00%,"-$441,647"
Mebsuta Airlines,"$1,212",1216889,158196,0.31%,0.55%,13.00%,"$3,497,580"
Meerkat Airlines,$802,824087,502693,0.50%,0.90%,61.00%,"-$306,560"
Megalodon Airlines,$639,291259,0,0.86%,1.04%,0.00%,"$1,596,099"
Megrez Airlines,"$1,022",239448,50284,0.44%,0.65%,21.00%,"$740,733"
Meira Airlines,$207,335846,251885,0.79%,2.29%,75.00%,"-$646,506"
Meissa Airlines,$315,1827928,694613,1.17%,1.61%,38.00%,"$3,230,313"
Mekbuda Airlines,$518,102564,67692,0.66%,0.97%,66.00%,"$11,283"
Meleph Airlines,"$1,068",1719241,240694,0.45%,0.69%,14.00%,"$6,515,234"
Menallack Farmhouse Airlines,"$1,138",1149026,137883,0.34%,0.48%,12.00%,"$3,654,823"
Menkalinan Airlines,$675,1664728,566008,0.32%,0.75%,34.00%,"$770,434"
Menkar Airlines,$663,1414383,975924,0.23%,0.43%,69.00%,"-$674,943"
Menkent Airlines,"$1,409",393956,240313,0.35%,0.50%,61.00%,"$249,060"
Menkib Airlines,"$1,228",411394,131646,0.38%,0.63%,32.00%,"$908,029"
Menonita Airlines,$985,781103,156221,0.31%,0.63%,20.00%,"$1,455,974"
Merak Airlines,"$1,833",1071292,503507,0.16%,0.22%,47.00%,"$1,179,065"
Meredith Blue Airlines,"$1,368",1491295,954429,0.30%,0.52%,64.00%,"-$638,872"
Merga Airlines,$234,156622,34457,2.26%,3.58%,22.00%,"$538,559"
Meridiana Airlines,$529,536124,101864,0.47%,0.99%,19.00%,"$811,904"
Merope Airlines,$741,280252,165349,0.50%,0.84%,59.00%,"$5,155"
Merriami Airlines,$365,1485114,1054431,1.31%,1.65%,71.00%,"$746,863"
Mesarthim Airlines,$297,195050,122882,1.16%,1.51%,63.00%,"$123,133"
Mesost Airlines,$813,887093,44355,0.25%,0.61%,5.00%,"$1,598,096"
Mesquite Airlines,$857,31643,18353,0.46%,0.72%,58.00%,"$12,302"
Metton Airlines,"$1,247",1204428,469727,0.33%,0.51%,39.00%,"$1,969,480"
Mexican Free-Tailed Bat Airlines,$631,1204332,626253,0.55%,0.77%,52.00%,"$1,099,313"
Mexicanus Airlines,"$1,190",853480,256044,0.14%,0.32%,30.00%,"$462,586"
Meyer Vintage Gouda Airlines,$889,1066308,341219,0.35%,0.48%,32.00%,"$1,888,216"
Miaplacidus Airlines,"$1,346",952932,514583,0.21%,0.34%,54.00%,"$290,836"
Microps Airlines,"$1,601",1675349,787414,0.30%,0.39%,47.00%,"$3,206,116"
Mihalic Peynir Airlines,"$1,765",203891,4078,0.19%,0.37%,2.00%,"$652,613"
Milfoil Airlines,"$1,624",1711492,1386309,0.18%,0.31%,81.00%,"-$1,925,089"
Milk Thistle Airlines,$528,1147642,103288,0.56%,1.07%,9.00%,"$2,815,509"
Milkfish Airlines,"$1,380",300791,138364,0.34%,0.46%,46.00%,"$549,905"
Milkweed Airlines,$336,817433,359671,0.96%,1.40%,44.00%,"$945,277"
Milky Tassel Airlines,"$1,724",579358,428725,0.20%,0.28%,74.00%,"-$27,346"
Milleens Airlines,"$1,082",717831,50248,0.32%,0.56%,7.00%,"$2,213,576"
Millipede Airlines,"$1,555",1653448,1273155,0.32%,0.49%,77.00%,"-$1,546,140"
Mimolette Airlines,$941,1511025,166213,0.58%,0.84%,11.00%,"$6,913,693"
Mimosa Airlines,"$1,997",836447,158925,0.10%,0.21%,19.00%,"$1,072,325"
Minchir Airlines,$652,1919079,748441,0.73%,0.89%,39.00%,"$4,801,343"
Mine-Gabhar Airlines,$787,1001409,821155,0.54%,0.71%,82.00%,"-$364,310"
Minelauva Airlines,"$1,293",310870,99478,0.35%,0.50%,32.00%,"$769,965"
Mini Baby Bells Airlines,$891,411845,82369,0.38%,0.55%,20.00%,"$1,003,254"
Minimus Airlines,"$1,505",697476,544031,0.26%,0.45%,78.00%,"-$960,702"
Mink Airlines,"$1,838",1030123,175121,0.13%,0.22%,17.00%,"$1,774,902"
Minke Whale Airlines,$269,1138329,762680,1.80%,2.29%,67.00%,"$807,647"
Mintaka Airlines,"$1,956",1687867,523239,0.10%,0.17%,31.00%,"$1,412,744"
Mira Airlines,$908,1860840,1358413,0.28%,0.61%,73.00%,"-$2,763,346"
Mirach Airlines,"$1,389",424315,135781,0.35%,0.51%,32.00%,"$1,087,773"
Miram Airlines,"$1,193",275476,162531,0.14%,0.33%,59.00%,"-$167,821"
Mirbecks Oak Airlines,$754,3021,302,0.40%,0.62%,10.00%,"$7,777"
Mirfak Airlines,"$1,837",520267,130067,0.10%,0.18%,25.00%,"$482,547"
Mirzam Airlines,"$1,197",27355,11489,0.20%,0.39%,42.00%,"$11,019"
Misam Airlines,"$1,097",549132,27457,0.45%,0.71%,5.00%,"$2,469,993"
Mixte Airlines,"$1,129",454086,136226,0.22%,0.44%,30.00%,"$430,473"
Mizar Airlines,$793,773502,657477,0.60%,0.87%,85.00%,"-$875,606"
Molbo Airlines,$658,376467,278586,0.63%,1.08%,74.00%,"-$416,601"
Moldoveanu Airlines,"$1,229",1194337,656885,0.34%,0.44%,55.00%,"$1,503,672"
Mole Airlines,"$1,427",149628,8978,0.33%,0.46%,6.00%,"$642,321"
Molly Airlines,$696,781796,476896,0.61%,0.85%,61.00%,"$519,814"
Monarch Butterfly Airlines,"$1,978",1090772,763540,0.16%,0.24%,70.00%,"-$53,446"
Monastery Cheeses Airlines,$661,1173447,246424,0.45%,0.61%,21.00%,"$2,482,779"
Monch Airlines,"$1,877",1943941,738698,0.29%,0.35%,38.00%,"$5,546,838"
Mondseer Airlines,"$1,563",1812277,579929,0.30%,0.45%,32.00%,"$4,321,916"
Mongoose Airlines,"$1,299",829079,0,0.28%,0.47%,0.00%,"$3,051,011"
Mongrel Airlines,"$1,263",1093759,229689,0.35%,0.47%,21.00%,"$3,547,172"
Monitor Lizard Airlines,"$1,971",1117762,111776,0.20%,0.31%,10.00%,"$3,807,099"
Monkey Airlines,"$1,818",1125983,867007,0.10%,0.18%,77.00%,"-$765,106"
Monkfish Airlines,"$1,794",569570,96827,0.12%,0.29%,17.00%,"$761,059"
Mont D'Or Lyonnais Airlines,"$1,175",1305584,169726,0.27%,0.47%,13.00%,"$3,263,698"
Montanus Airlines,"$1,292",1848034,184803,0.27%,0.47%,10.00%,"$5,207,762"
Montasio Airlines,$952,1885159,358180,0.45%,0.76%,19.00%,"$5,554,245"
Monte Iberia Eleuth Airlines,"$1,082",415070,240741,0.35%,0.58%,58.00%,"$68,484"
Monterey Jack Airlines,"$1,274",1100250,231053,0.35%,0.50%,21.00%,"$3,445,760"
Monterey Jack Dry Airlines,$657,1449312,710163,0.79%,1.26%,49.00%,"$1,684,969"
Monticola Airlines,"$1,340",1864973,1398730,0.15%,0.37%,75.00%,"-$3,156,468"
Montuno Airlines,$451,1352966,1028254,0.56%,0.94%,76.00%,"-$984,417"
Moorhen Airlines,"$1,425",123333,30833,0.11%,0.30%,25.00%,"$66,293"
Moose Airlines,"$1,547",122650,23304,0.18%,0.37%,19.00%,"$216,425"
Moose Maple Airlines,"$1,550",1965703,1002509,0.27%,0.34%,51.00%,"$2,855,574"
Moosewood Airlines,"$1,385",62363,49890,0.31%,0.44%,80.00%,"-$36,168"
Morava Airlines,"$1,128",1274221,815501,0.24%,0.36%,64.00%,"$128,443"
Moray Eel Airlines,$423,1695814,474828,0.39%,0.63%,28.00%,"$1,564,219"
Morbier Airlines,"$1,229",1961430,1176858,0.22%,0.34%,60.00%,"$404,055"
Morbier Cru De Montagne Airlines,"$1,067",1793127,143450,0.32%,0.51%,8.00%,"$5,311,960"
Morel Airlines,"$1,129",360880,57741,0.43%,0.72%,16.00%,"$1,293,392"
Moriah Airlines,"$1,817",1796344,179634,0.25%,0.41%,10.00%,"$6,835,092"
Mosquito Fern Airlines,"$1,991",897624,8976,0.26%,0.31%,1.00%,"$4,531,926"
Mosquito Plant Airlines,"$1,301",1244179,559881,0.17%,0.34%,45.00%,"$195,956"
Mossycup White Oak Airlines,"$1,812",388442,190337,0.30%,0.38%,49.00%,"$817,085"
Moth Airlines,$413,1459439,248105,1.02%,1.46%,17.00%,"$4,650,646"
Mothais A La Feuille Airlines,"$1,369",1126667,360533,0.35%,0.51%,32.00%,"$2,827,937"
Mothallah Airlines,"$1,626",1863195,1192445,0.19%,0.37%,64.00%,"-$1,470,435"
Mother Of The Evening Airlines,$762,282825,59393,0.41%,0.54%,21.00%,"$630,418"
Mouhoun Airlines,"$1,852",559662,386167,0.19%,0.35%,69.00%,"-$495,862"
Mountain Gorilla Airlines,$592,804365,321746,0.85%,1.08%,40.00%,"$1,996,434"
Mountain Lion Airlines,$577,1624029,243604,0.62%,0.85%,15.00%,"$4,587,884"
Mountain Mahogany Airlines,$793,1602641,592977,0.46%,0.65%,37.00%,"$2,724,010"
Mouse Airlines,$556,1381226,1146418,0.84%,1.42%,83.00%,"-$2,558,172"
Mozzarella Airlines,$297,246038,155004,0.99%,1.92%,63.00%,"-$156,161"
Mozzarella Di Bufala Airlines,$606,508241,259203,0.34%,0.58%,51.00%,"$147,237"
Mozzarella Fresh Airlines,$798,390600,101556,0.22%,0.42%,26.00%,"$328,573"
Mozzarella Rolls Airlines,$832,275057,30256,0.47%,0.63%,11.00%,"$914,181"
Mpingo Airlines,"$1,475",1332529,919445,0.25%,0.36%,69.00%,"$54,101"
Muenster Airlines,$285,1643968,410992,0.71%,1.25%,25.00%,"$1,874,124"
Mulberry Airlines,"$1,587",1038680,176576,0.21%,0.30%,17.00%,"$2,559,306"
Mule Airlines,"$1,416",364852,3649,0.22%,0.34%,1.00%,"$1,120,714"
Muliphein Airlines,$284,1090694,370836,1.02%,1.51%,34.00%,"$1,572,126"
Multiflora Rose Airlines,$802,1848192,1127397,0.40%,0.77%,61.00%,"-$1,074,723"
Muphrid Airlines,$794,216924,114970,0.61%,0.85%,53.00%,"$274,884"
Murol Airlines,"$1,070",367892,228093,0.27%,0.48%,62.00%,"-$106,909"
Muscida Airlines,$308,1375023,96252,1.54%,2.12%,7.00%,"$5,890,046"
Musica Airlines,"$1,860",1025298,543408,0.28%,0.42%,53.00%,"$1,030,219"
Muskrat Airlines,"$1,427",513607,354389,0.32%,0.51%,69.00%,"-$260,760"
Muspelheim Airlines,"$1,791",640056,243221,0.25%,0.42%,38.00%,"$1,068,640"
Mycella Airlines,$900,1148654,838517,0.52%,0.65%,73.00%,"$430,633"
Myzithra Airlines,$917,143860,115088,0.34%,0.54%,80.00%,"-$117,390"
Naboulsi Airlines,"$1,603",403160,221738,0.13%,0.33%,55.00%,"-$334,018"
Nahn Airlines,$419,1199212,359764,1.05%,1.35%,30.00%,"$3,223,480"
Naledi Airlines,"$1,584",185445,118685,0.10%,0.26%,64.00%,"-$190,267"
Nantais Airlines,"$1,513",676129,331303,0.29%,0.40%,49.00%,"$933,735"
Naos Airlines,"$1,003",481234,125121,0.44%,0.67%,26.00%,"$1,294,807"
Narwhal Airlines,$291,927559,343197,1.49%,2.29%,37.00%,"$1,745,758"
Nashira Airlines,"$1,779",1052962,800251,0.27%,0.39%,76.00%,"-$452,773"
